"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"525";5310;"SP";3403000;"ARAMINA";41
"526";5311;"SP";3403109;"ARANDU";41
"527";5312;"SP";3403356;"ARCO-IRIS";41
"528";5313;"SP";3403406;"AREALVA";41
"529";5314;"SP";3403505;"AREIAS";41
"530";5315;"SP";3403604;"AREIOPOLIS";41
"531";5316;"SP";3430102;"MIRANDOPOLIS";41
"532";5317;"SP";3426605;"LAVRINHAS";41
"533";5318;"SP";3426704;"LEME";41
"534";5319;"SP";3426803;"LENCOIS PAULISTA";41
"535";5320;"SP";3426902;"LIMEIRA";41
"536";5321;"SP";3427009;"LINDOIA";41
"537";5322;"SP";3427108;"LINS";41
"538";5323;"SP";3427207;"LORENA";41
"539";5324;"SP";3427256;"LOURDES";41
"540";5325;"SP";3427306;"LOUVEIRA";41
"541";5326;"SP";3404701;"BALBINOS";41
"542";5327;"SP";3404800;"BALSAMO";41
"543";5328;"SP";3404909;"BANANAL";41
"544";5329;"SP";3405005;"BARAO DE ANTONINA";41
"545";5330;"SP";3405104;"BARBOSA";41
"546";5331;"SP";3405203;"BARIRI";41
"547";5332;"SP";3405302;"BARRA BONITA";41
"548";5333;"SP";3405351;"BARRA DO CHAPEU";41
"549";5334;"SP";3405401;"BARRA DO TURVO";41
"550";5335;"SP";3405500;"BARRETOS";41
"551";5336;"SP";3405609;"BARRINHA";41
"552";5337;"SP";3405708;"BARUERI";41
"553";5338;"SP";3405807;"BASTOS";41
"554";5339;"SP";3435408;"PANORAMA";41
"555";5340;"SP";3449102;"SAO JOAO DA BOA VISTA";41
"556";5341;"SP";3449201;"SAO JOAO DAS DUAS PONTES";41
"557";5342;"SP";3402309;"ANHEMBI";41
"558";5343;"SP";3402408;"ANHUMAS";41
"559";5344;"SP";3402507;"APARECIDA";41
"560";5345;"SP";3402606;"APARECIDA D'OESTE";41
"561";5346;"SP";3449508;"SAO JOSE DA BELA VISTA";41
"562";5347;"SP";3449607;"SAO JOSE DO BARREIRO";41
"563";5348;"SP";3449706;"SAO JOSE DO RIO PARDO";41
"564";5349;"SP";3449805;"SAO JOSE DO RIO PRETO";41
"565";5350;"SP";3449904;"SAO JOSE DOS CAMPOS";41
"566";5351;"SP";3449953;"SAO LOURENCO DA SERRA";41
"567";5352;"SP";3450001;"SAO LUIS DO PARAITINGA";41
"568";5353;"SP";3450100;"SAO MANUEL";41
"569";5354;"SP";3450209;"SAO MIGUEL ARCANJO";41
"570";5355;"SP";3450308;"SAO PAULO";41
"571";5356;"SP";3403703;"ARIRANHA";41
"572";5357;"SP";3430201;"MIRANTE DO PARANAPANEMA";41
"573";5358;"SP";3430300;"MIRASSOL";41
"574";5359;"SP";3407605;"BRAGANCA PAULISTA";41
"575";5360;"SP";3407704;"BRAUNA";41
"576";5361;"SP";3407753;"BREJO ALEGRE";41
"577";5362;"SP";3407803;"BRODOWSKI";41
"578";5363;"SP";3407902;"BROTAS";41
"579";5364;"SP";3408009;"BURI";41
"580";5365;"SP";3408108;"BURITAMA";41
"581";5366;"SP";3431100;"MONGAGUA";41
"582";5367;"SP";3431209;"MONTE ALEGRE DO SUL";41
"583";5368;"SP";3448005;"SANTO ANTONIO DE POSSE";41
"584";5369;"SP";3448054;"SANTO ANTONIO DO ARACANGUA";41
"585";5370;"SP";3448104;"SANTO ANTONIO DO JARDIM";41
"586";5371;"SP";3448203;"SANTO ANTONIO DO PINHAL";41
"587";5372;"SP";3448302;"SANTO EXPEDITO";41
"588";5373;"SP";3448401;"SANTOPOLIS DO AGUAPEI";41
"589";5374;"SP";3448500;"SANTOS";41
"590";5375;"SP";3448609;"SAO BENTO DO SAPUCAI";41
"591";5376;"SP";3448708;"SAO BERNARDO DO CAMPO";41
"592";5377;"SP";3448807;"SAO CAETANO DO SUL";41
"593";5378;"SP";3448906;"SAO CARLOS";41
"594";5379;"SP";3436505;"PAULINIA";41
"595";5380;"SP";3435507;"PARAGUACU PAULISTA";41
"596";5381;"SP";3435606;"PARAIBUNA";41
"597";5382;"SP";3435705;"PARAISO";41
"598";5383;"SP";3449250;"SAO JOAO DE IRACEMA";41
"599";5384;"SP";3449300;"SAO JOAO DO PAU D'ALHO";41
"600";5385;"SP";3449409;"SAO JOAQUIM DA BARRA";41
"601";5386;"SP";3436000;"PARAPUA";41
"602";5387;"SP";3436109;"PARDINHO";41
"603";5388;"SP";3436208;"PARIQUERA-ACU";41
"604";5389;"SP";3436257;"PARISI";41
"605";5390;"SP";3436307;"PATROCINIO PAULISTA";41
"606";5391;"SP";3436406;"PAULICEIA";41
"607";5392;"SP";3447700;"SANTO ANASTACIO";41
"608";5393;"SP";3436570;"PAULISTANIA";41
"609";5394;"SP";3436604;"PAULO DE FARIA";41
"610";5395;"SP";3436703;"PEDERNEIRAS";41
"611";5396;"SP";3450407;"SAO PEDRO";41
"612";5397;"SP";3403802;"ARTUR NOGUEIRA";41
"613";5398;"SP";3403901;"ARUJA";41
"614";5399;"SP";3403950;"ASPASIA";41
"615";5400;"SP";3404008;"ASSIS";41
"616";5401;"SP";3447403;"SANTA RITA D'OESTE";41
"617";5402;"SP";3447502;"SANTA RITA DO PASSA QUATRO";41
"618";5403;"SP";3447601;"SANTA ROSA DE VITERBO";41
"619";5404;"SP";3447650;"SANTA SALETE";41
"620";5405;"SP";3435309;"PALMITAL";41
"621";5406;"SP";3447809;"SANTO ANDRE";41
"622";5407;"SP";3447908;"SANTO ANTONIO DA ALEGRIA";41
"623";5408;"SP";3431001;"MONCOES";41
"624";5409;"SP";3437156;"PEDRINHAS PAULISTA";41
"625";5410;"SP";3436802;"PEDRA BELA";41
"626";5411;"SP";3435804;"PARANAPANEMA";41
"627";5412;"SP";3435903;"PARANAPUA";41
"628";5413;"SP";3404305;"AVAI";41
"629";5414;"SP";3430409;"MIRASSOLANDIA";41
"630";5415;"SP";3404107;"ATIBAIA";41
"631";5416;"SP";3404206;"AURIFLAMA";41
"632";5417;"SP";3437107;"PEDREIRA";41
"633";5418;"SP";3404404;"AVANHANDAVA";41
"634";5419;"SP";3404503;"AVARE";41
"635";5420;"SP";3404602;"BADY BASSITT";41
"636";5421;"SP";3430508;"MOCOCA";41
"637";5422;"SP";3437008;"PEDREGULHO";41
"638";5423;"SP";3430706;"MOGI GUACU";41
"639";5424;"SP";3450506;"SAO PEDRO DO TURVO";41
"640";5425;"SP";3430904;"MOMBUCA";41
"641";5426;"SP";3430607;"MOGI DAS CRUZES";41
"642";5427;"SP";3437305;"PENAPOLIS";41
"643";5428;"SP";3437206;"PEDRO DE TOLEDO";41
"644";5429;"SP";3436901;"PEDRANOPOLIS";41
"645";5430;"SP";3430805;"MOGI-MIRIM";41
