"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"120";4905;"SP";3422000;"ITAJU";41
"121";4906;"SP";3422109;"ITANHAEM";41
"122";4907;"SP";3422158;"ITAOCA";41
"123";4908;"SP";3422208;"ITAPECERICA DA SERRA";41
"124";4909;"SP";3446900;"SANTA LUCIA";41
"125";4910;"SP";3447007;"SANTA MARIA DA SERRA";41
"126";4911;"SP";3447106;"SANTA MERCEDES";41
"127";4912;"SP";3400105;"ADAMANTINA";41
"128";4913;"SP";3422703;"ITAPOLIS";41
"129";4914;"SP";3422802;"ITAPORANGA";41
"130";4915;"SP";3411508;"CERQUILHO";41
"131";4916;"SP";3415194;"ESPIRITO SANTO DO TURVO";41
"132";4917;"SP";3415202;"ESTRELA D'OESTE";41
"133";4918;"SP";3415301;"ESTRELA DO NORTE";41
"134";4919;"SP";3415350;"EUCLIDES DA CUNHA PAULISTA";41
"135";4920;"SP";3415400;"FARTURA";41
"136";4921;"SP";3408504;"CACAPAVA";41
"137";4922;"SP";3423602;"ITIRAPINA";41
"138";4923;"SP";3423701;"ITIRAPUA";41
"139";4924;"SP";3423800;"ITOBI";41
"140";4925;"SP";3423909;"ITU";41
"141";4926;"SP";3424006;"ITUPEVA";41
"142";4927;"SP";3424105;"ITUVERAVA";41
"143";4928;"SP";3424204;"JABORANDI";41
"144";4929;"SP";3424303;"JABOTICABAL";41
"145";4930;"SP";3424402;"JACAREI";41
"146";4931;"SP";3424501;"JACI";41
"147";4932;"SP";3413306;"CRUZALIA";41
"148";4933;"SP";3413405;"CRUZEIRO";41
"149";4934;"SP";3413504;"CUBATAO";41
"150";4935;"SP";3413603;"CUNHA";41
"151";4936;"SP";3413702;"DESCALVADO";41
"152";4937;"SP";3413801;"DIADEMA";41
"153";4938;"SP";3413850;"DIRCE REIS";41
"154";4939;"SP";3413900;"DIVINOLANDIA";41
"155";4940;"SP";3414007;"DOBRADA";41
"156";4941;"SP";3414106;"DOIS CORREGOS";41
"157";4942;"SP";3414205;"DOLCINOPOLIS";41
"158";4943;"SP";3414304;"DOURADO";41
"159";4944;"SP";3414403;"DRACENA";41
"160";4945;"SP";3414502;"DUARTINA";41
"161";4946;"SP";3440408;"POPULINA";41
