Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2021;11;"Vinhedo - SP";83920472;10410176
2021;10;"Artur Nogueira - SP";4745643;958089
2021;10;"Campinas - SP";233454968;17729327
2021;10;"Cosmópolis - SP";4454931;631810
2021;10;"Engenheiro Coelho - SP";157159;193846
2021;10;"Holambra - SP";3416304;333013
2021;10;"Hortolândia - SP";98753716;3067144
2021;10;"Indaiatuba - SP";112759583;46486505
2021;10;"Itatiba - SP";29251002;4755564
2021;10;"Jaguariúna - SP";86634150;2300364
2021;10;"Monte Mor - SP";11192591;2717077
2021;10;"Morungaba - SP";255097;155027
2021;10;"Nova Odessa - SP";8308685;2480346
2021;10;"Paulínia - SP";456746803;75160767
2021;10;"Pedreira - SP";683241;192255
2021;10;"Santa Bárbara d'Oeste - SP";12468979;1377309
2021;10;"Santo Antônio de Posse - SP";10778004;1129391
2021;10;"Sumaré - SP";114019712;48503051
2021;10;"Valinhos - SP";47502121;5039574
2021;10;"Vinhedo - SP";70942065;11827294
2021;09;"Artur Nogueira - SP";5058357;1188428
2021;09;"Campinas - SP";253350278;21158006
2021;09;"Cosmópolis - SP";4982784;338476
2021;09;"Engenheiro Coelho - SP";853810;624777
2021;09;"Holambra - SP";4549854;302292
2021;09;"Hortolândia - SP";92369511;2850141
2021;09;"Indaiatuba - SP";136904114;44233405
2021;09;"Itatiba - SP";29879454;6708786
2021;09;"Jaguariúna - SP";95469259;3314745
2021;09;"Monte Mor - SP";14519604;2672012
2021;09;"Morungaba - SP";1246994;744914
2021;09;"Nova Odessa - SP";6051440;1548154
2021;09;"Paulínia - SP";427547074;62722807
2021;09;"Pedreira - SP";785638;394409
2021;09;"Santa Bárbara d'Oeste - SP";15873437;1429909
2021;09;"Santo Antônio de Posse - SP";13396687;1128649
2021;09;"Sumaré - SP";144505145;72262181
2021;09;"Valinhos - SP";57168501;4902832
2021;09;"Vinhedo - SP";73563772;10875561
2021;08;"Artur Nogueira - SP";7576119;1664571
2021;08;"Campinas - SP";270683638;18090884
2021;08;"Cosmópolis - SP";15422176;305238
2021;08;"Engenheiro Coelho - SP";435305;546462
2021;08;"Holambra - SP";2526254;201513
2021;08;"Hortolândia - SP";78095744;3131781
2021;08;"Indaiatuba - SP";120479119;54103466
2021;08;"Itatiba - SP";30000476;6200904
2021;08;"Jaguariúna - SP";97504908;2711830
2021;08;"Monte Mor - SP";10638862;2144141
2021;08;"Morungaba - SP";419121;137991
2021;08;"Nova Odessa - SP";6461957;1740124
2021;08;"Paulínia - SP";490795993;79262743
2021;08;"Pedreira - SP";364088;291283
2021;08;"Santa Bárbara d'Oeste - SP";33356085;1425265
2021;08;"Santo Antônio de Posse - SP";17653468;1399389
2021;08;"Sumaré - SP";110526902;70849201
2021;08;"Valinhos - SP";40980925;3757811
2021;08;"Vinhedo - SP";73706062;12888712
2021;07;"Artur Nogueira - SP";4621750;1389878
2021;07;"Campinas - SP";251435580;21391490
2021;07;"Cosmópolis - SP";9085206;188100
2021;07;"Engenheiro Coelho - SP";123379;60809
2021;07;"Holambra - SP";3687477;409479
2021;07;"Hortolândia - SP";86596104;2558042
2021;07;"Indaiatuba - SP";117965024;55573677
2021;07;"Itatiba - SP";34026466;7301560
2021;07;"Jaguariúna - SP";90861645;4298063
2021;07;"Monte Mor - SP";11635376;2673950
2021;07;"Morungaba - SP";419610;121973
2021;07;"Nova Odessa - SP";9732594;2144058
2021;07;"Paulínia - SP";497128083;72459044
2021;07;"Pedreira - SP";599481;235252
2021;07;"Santa Bárbara d'Oeste - SP";15445271;1261031
2021;07;"Santo Antônio de Posse - SP";13881175;581975
2021;07;"Sumaré - SP";101163315;46672660
2021;07;"Valinhos - SP";34996701;5644978
2021;07;"Vinhedo - SP";75568426;11912158
2021;06;"Artur Nogueira - SP";5053819;1579126
2021;06;"Campinas - SP";204697893;20319104
2021;06;"Cosmópolis - SP";9901157;505342
2021;06;"Engenheiro Coelho - SP";630452;1105381
2021;06;"Holambra - SP";4650566;357557
2021;06;"Hortolândia - SP";81383465;3079819
2021;06;"Indaiatuba - SP";114644382;36318460
2021;06;"Itatiba - SP";33767171;8632690
2021;06;"Jaguariúna - SP";94765670;4467225
2021;06;"Monte Mor - SP";11131544;1897446
2021;06;"Morungaba - SP";759960;569353
2021;06;"Nova Odessa - SP";7169445;1759279
2021;06;"Paulínia - SP";422755437;75468517
2021;06;"Pedreira - SP";735502;213380
2021;06;"Santa Bárbara d'Oeste - SP";13779678;1171878
2021;06;"Santo Antônio de Posse - SP";13371021;1459248
2021;06;"Sumaré - SP";90776726;29941037
2021;06;"Valinhos - SP";35948015;3316999
2021;06;"Vinhedo - SP";82081655;11410553
2021;05;"Artur Nogueira - SP";4432672;2884862
2021;05;"Campinas - SP";246437058;22138434
2021;05;"Cosmópolis - SP";12154912;746090
2021;05;"Engenheiro Coelho - SP";494520;917559
2021;05;"Holambra - SP";4011757;354127
2021;05;"Hortolândia - SP";85763208;4297170
2021;05;"Indaiatuba - SP";114309016;48448562
2021;05;"Itatiba - SP";34860239;9947455
2021;05;"Jaguariúna - SP";96948322;3436229
2021;05;"Monte Mor - SP";11439400;2349750
2021;05;"Morungaba - SP";965324;128227
2021;05;"Nova Odessa - SP";8812192;2456500
2021;05;"Paulínia - SP";399763785;80297911
2021;05;"Pedreira - SP";292681;159001
2021;05;"Santa Bárbara d'Oeste - SP";13742641;1424688
2021;05;"Santo Antônio de Posse - SP";10978448;690289
2021;05;"Sumaré - SP";69968025;35132129
2021;05;"Valinhos - SP";36965079;5433194
2021;05;"Vinhedo - SP";72970604;11808396
2021;04;"Artur Nogueira - SP";4636779;1897985
2021;04;"Campinas - SP";229539353;19306633
2021;04;"Cosmópolis - SP";7617531;520916
2021;04;"Engenheiro Coelho - SP";675673;991529
2021;04;"Holambra - SP";2959575;375564
2021;04;"Hortolândia - SP";78419901;3432917
2021;04;"Indaiatuba - SP";100705236;33836382
2021;04;"Itatiba - SP";30239441;7269302
2021;04;"Jaguariúna - SP";92365662;2788731
2021;04;"Monte Mor - SP";8627259;1531460
2021;04;"Morungaba - SP";1742444;770836
2021;04;"Nova Odessa - SP";8842587;2389870
2021;04;"Paulínia - SP";261645902;47066837
2021;04;"Pedreira - SP";461467;321917
2021;04;"Santa Bárbara d'Oeste - SP";13927676;1175147
2021;04;"Santo Antônio de Posse - SP";11540863;1154632
2021;04;"Sumaré - SP";58533378;22256693
2021;04;"Valinhos - SP";29556843;5763235
2021;04;"Vinhedo - SP";60644125;11124128
